,caption,gold,id,most_frequent_percentage,object_a,object_b,origin,paths,pred_if,pred_lex,predicted,repeated,s_len,sentence,sentencer
J1537561438,middle_paths_unrestricted_16,NONE,,1.0,Lisp,Python,lex (unique),"[['X/PROPN/nsubj/> see/VERB/ROOT/^ be/VERB/advcl/< available/ADJ/acomp/<', 'accomodate/VERB/xcomp/< system/NOUN/dobj/< like/ADP/prep/<', 'java/PROPN/pobj/< Y/PROPN/conj/<'], ['X/PROPN/nsubj/> etc/X/conj/V see/VERB/ROOT/^ be/VERB/advcl/<', 'available/ADJ/acomp/< accomodate/VERB/xcomp/< system/NOUN/dobj/<', 'like/ADP/prep/< java/PROPN/pobj/< Y/PROPN/conj/<']]",,,ARG,True,511,"I would think that dynamic languages (new dialects of Lisp, etc.) will see a renaissance in the medium-term future, simply because hardware is now available to accomodate these systems and languages like Java, Python are all moving in that direction (especially when mixed with Javascript and XML to provide some poor man's S-expressions), and more ambitious projects in dynamic modelling and simulation can be attempted because of more powerful hardware and better understood problem domains than 20 years ago.","I would think that dynamic languages (new dialects of Lisp, etc.) will', 'see a renaissance in the medium-term future, simply because hardware', 'is now available to accomodate these systems and languages like Java,', 'Python are all moving in that direction (especially when mixed with', ""Javascript and XML to provide some poor man's S-expressions), and more"", 'ambitious projects in dynamic modelling and simulation can be', 'attempted because of more powerful hardware and better understood', 'problem domains than 20 years ago."
J1544946593,middle_paths_unrestricted_16,ARG,,0.6,Java,Python,lex (unique),[['X/PROPN/compound/> faster/PROPN/ROOT/^ Y/PROPN/pobj/<']],,,NONE,True,26,Java 8X Faster than Python,Java 8X Faster than Python
J1544974793,middle_paths_unrestricted_16,NONE,,1.0,Java,Smalltalk,lex (unique),"[['X/PROPN/nsubj/> follow/VERB/ROOT/^ in/ADP/prep/< lisp/PROPN/pobj/<', 'Y/PROPN/conj/<']]",,,ARG,False,57,Java clearly follows in the LISP and Smalltalk tradition.,Java clearly follows in the LISP and Smalltalk tradition.
J1545028523,middle_paths_unrestricted_16,NONE,,1.0,Java,Smalltalk,lex (unique),[['X/PROPN/nsubj/> be/VERB/ROOT/^ Y/PROPN/attr/<']],,,ARG,True,44,Java is Smalltalk history repeated as farce.,Java is Smalltalk history repeated as farce.
J1545141614,middle_paths_unrestricted_16,NONE,,1.0,Java,Smalltalk,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ argument/NOUN/appos/V Y/PROPN/pobj/<']]",,,ARG,True,47,Java: The best argument for Smalltalk since C++,Java: The best argument for Smalltalk since C++
J1554986431,middle_paths_unrestricted_16,ARG,,1.0,Direct3D,OpenGL,lex (unique),[['X/PROPN/nsubj/> be/VERB/ROOT/^ to/PART/prep/< Y/PROPN/pobj/<']],,,NONE,True,281,"John Carmack, the co-founder of id Software who pretty much helped invent the first-person shooter genre, not to mention an all-around fantastic gentleman (we hung on his every word during last year's QuakeCon ), has said that he now believes Direct3D is a superior API to OpenGL .","John Carmack, the co-founder of id Software who pretty much helped', 'invent the first-person shooter genre, not to mention an all-around', ""fantastic gentleman (we hung on his every word during last year's"", 'QuakeCon ), has said that he now believes Direct3D is a superior API', 'to OpenGL ."
K1587901276,middle_paths_unrestricted_16,NONE,,1.0,ps3,psp,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ on/ADP/conj/V Y/PROPN/pobj/<']]",,,ARG,True,86,"Killzone 's first sequel was released not on ps3, but on psp, and to mediocre reviews.","Killzone 's first sequel was released not on ps3, but on psp, and to"", 'mediocre reviews."
K1601652077,middle_paths_unrestricted_16,ARG,,0.8,Honda,BMW,lex (unique),[['NOPATH']],,,NONE,False,167,"Larry Fitzgerald upgraded from Derek Anderson to Kevin Kolb, but so far that's like upgrading from a Honda to an Accura...yeah it's better but you really wanted a BMW.","Larry Fitzgerald upgraded from Derek Anderson to Kevin Kolb, but so', ""far that's like upgrading from a Honda to an Accura...yeah it's better"", 'but you really wanted a BMW."
K1608487141,middle_paths_unrestricted_16,NONE,,1.0,paint,chalk,lex (unique),[['X/PROPN/nsubj/> provide/VERB/ROOT/^ Y/PROPN/npadvmod/<']],,,ARG,True,100,"Latex paint provides better fade- and mildew-resistance, flexibility, chalk resistance and adhesion.","Latex paint provides better fade- and mildew-resistance, flexibility,', 'chalk resistance and adhesion."
K1614856915,middle_paths_unrestricted_16,NONE,,0.6,Ruby,Java,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ old/ADJ/acomp/< as/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,ARG,True,28,"Lee, Ruby is as old as Java.","Lee, Ruby is as old as Java."
K1616129796,middle_paths_unrestricted_16,ARG,,0.6,Leica,Nikon,lex (unique),"[['X/ADJ/amod/> lens/NOUN/ROOT/^ good/ADJ/amod/< than/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,NONE,False,84,"Leica lens (better than Nikon) great range, Small EVF yes, but at least it's usable.","Leica lens (better than Nikon) great range, Small EVF yes, but at', ""least it's usable."
K1628185655,middle_paths_unrestricted_16,ARG,,1.0,wood,cardboard,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ or/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ be/VERB/conj/V Y/PROPN/pobj/<']]",,,NONE,True,83,Light weight wood or one of the various board substitutes is better than cardboard.,"Light weight wood or one of the various board substitutes is better', 'than cardboard."
K1632507130,middle_paths_unrestricted_16,ARG,,1.0,Java,Lisp,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ or/CONJ/cc/V Y/PROPN/conj/<']]",,,NONE,True,88,"Likewise, its no doubt easier to get a job programming Java or C, rather than Lisp or J.","Likewise, its no doubt easier to get a job programming Java or C,', 'rather than Lisp or J."
K1636185641,middle_paths_unrestricted_16,ARG,,0.6,OpenCL,CUDA,lex (unique),"[['X/PROPN/compound/> way/NOUN/ROOT/^ provide/VERB/ccomp/<', 'flexibility/NOUN/dobj/< than/ADP/prep/< Y/PROPN/pobj/<']]",,,NONE,True,199,Lisa Su and David Cummings mentioned the OpenCL way that is the path of choice for FirePro cards and how the open compute platform provides better flexibility than CUDA and Quadro/Tesla counterparts.,"Lisa Su and David Cummings mentioned the OpenCL way that is the path', 'of choice for FirePro cards and how the open compute platform provides', 'better flexibility than CUDA and Quadro/Tesla counterparts."
K1654161907,middle_paths_unrestricted_16,ARG,,1.0,plastic,concrete,lex (unique),"[['X/NOUN/ROOT/^ Y/PROPN/pobj/<'], ['X/NOUN/ROOT/^ good/ADJ/amod/V Y/PROPN/pobj/<'], ['X/NOUN/ROOT/^ kingdome/PROPN/poss/V Y/PROPN/pobj/<'], ['X/NOUN/ROOT/^ green/ADJ/amod/V Y/PROPN/pobj/<']]",,,NONE,True,70,Love the plastic....so much better than the Kingdome's green concrete.,Love the plastic....so much better than the Kingdome's green concrete.
K1666746349,middle_paths_unrestricted_16,ARG,,1.0,Ethernet,USB,lex (unique),"[['X/PROPN/compound/> port/NOUN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/compound/> port/NOUN/ROOT/^ the/DET/det/V Y/PROPN/conj/<']]",,,NONE,True,132,"Make sure you are using the Ethernet port rather than the USB one, it will be faster with 98 anyway and should just work with linux.","Make sure you are using the Ethernet port rather than the USB one, it', 'will be faster with 98 anyway and should just work with linux."
K1667848424,middle_paths_unrestricted_16,ARG,,1.0,Chrysler,Toyota,lex (unique),"[['X/PROPN/compound/> llc/PROPN/ROOT/^ trail/VERB/relcl/<', 'behind/ADP/prep/< Y/PROPN/pobj/<']]",,,NONE,False,239,"Making matters worse for the company is the fact that its sales were eclipsed last month by Chrysler Group LLC, an automaker that almost ceased to exist a couple of years ago and one which historically has always trailed far behind Toyota.","Making matters worse for the company is the fact that its sales were', 'eclipsed last month by Chrysler Group LLC, an automaker that almost', 'ceased to exist a couple of years ago and one which historically has', 'always trailed far behind Toyota."
K1676019430,middle_paths_unrestricted_16,NONE,,1.0,Ruby,Python,lex (unique),[['X/PROPN/nsubj/> be/VERB/ROOT/^ Y/PROPN/attr/<']],,,ARG,True,76,"Many people think Ruby is Python with lax whitespace, or PHP with better OO.","Many people think Ruby is Python with lax whitespace, or PHP with', 'better OO."
K1676248405,middle_paths_unrestricted_16,ARG,,1.0,Integer,Floating-point,lex (unique),"[['X/PROPN/compound/> calculation/NOUN/ROOT/^ faster/ADV/advmod/<', 'than/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/compound/> calculation/NOUN/ROOT/^ faster/ADV/advmod/<', 'than/ADP/prep/< similar/ADJ/amod/V Y/PROPN/pobj/<']]",,,NONE,False,95,Many processors can do Integer calculations much faster than similar Floating-point operations.,"Many processors can do Integer calculations much faster than similar', 'Floating-point operations."
K1713090704,middle_paths_unrestricted_16,ARG,,1.0,michigan,virginia,lex (unique),"[['X/PROPN/nsubj/> run/VERB/ROOT/^ into/ADP/prep/< one/NUM/pobj/<', 'of/ADP/prep/< defense/NOUN/pobj/< in/ADP/prep/< loss/NOUN/pobj/<', 'at/ADP/prep/< Y/PROPN/pobj/<']]",,,NONE,False,86,michigan  ran into one of the nation's better defenses in a 12 point loss at virginia.,"michigan \xa0ran into one of the nation's better defenses in a 12 point"", 'loss at virginia."
K1713811677,middle_paths_unrestricted_16,NONE,,0.6,Windows XP,Windows 8,lex (unique),"[['X/PROPN/nsubjpass/> upgrade/VERB/ROOT/^ to/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubjpass/> --/PUNCT/punct/V upgrade/VERB/ROOT/^ to/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/nsubjpass/> be/VERB/relcl/V upgrade/VERB/ROOT/^ to/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/nsubjpass/> --/PUNCT/punct/V upgrade/VERB/ROOT/^ to/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/nsubjpass/> vista/PROPN/conj/V upgrade/VERB/ROOT/^', 'to/ADP/prep/< Y/PROPN/pobj/<']]",,,ARG,False,286,"Microsoft, meanwhile, has said that PCs now running Windows XP -- which is nearly 11 years old -- Vista or Windows 7 can be upgraded to Windows 8 later this year as long as they meet very lenient hardware requirements that include 1GB of RAM and a 1GHz or faster Intel or AMD processor.","Microsoft, meanwhile, has said that PCs now running Windows XP --', 'which is nearly 11 years old -- Vista or Windows 7 can be upgraded to', 'Windows 8 later this year as long as they meet very lenient hardware', 'requirements that include 1GB of RAM and a 1GHz or faster Intel or AMD', 'processor."
K1727064126,middle_paths_unrestricted_16,ARG,,0.6,soup,pizza,lex (unique),"[['X/PROPN/nsubj/> grill/VERB/ROOT/^ chicken/NOUN/dobj/< be/VERB/relcl/<', 'better/ADV/acomp/< easy/ADJ/conj/< than/ADP/prep/< call/VERB/pcomp/<', 'for/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> and/CONJ/cc/V grill/VERB/ROOT/^ chicken/NOUN/dobj/<', 'be/VERB/relcl/< better/ADV/acomp/< easy/ADJ/conj/< than/ADP/prep/<', 'call/VERB/pcomp/< for/ADP/prep/< Y/PROPN/pobj/<']]",,,NONE,True,158,"mom luckly for me grant's babysitter, soledad, had cooked up some soup and grilled some chicken that was better and even easier than me calling out for pizza!","mom luckly for me grant's babysitter, soledad, had cooked up some soup"", 'and grilled some chicken that was better and even easier than me', 'calling out for pizza!"
K1730848526,middle_paths_unrestricted_16,ARG,,1.0,Toyota,Chrysler,lex (unique),"[['X/PROPN/nsubj/> fit/VERB/ROOT/^ compete/VERB/advcl/< with/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> fit/VERB/ROOT/^ compete/VERB/advcl/< with/ADP/prep/<', 'the/DET/det/V Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> fit/VERB/ROOT/^ compete/VERB/advcl/< with/ADP/prep/<', 'fast/ADJ/amod/V Y/PROPN/pobj/<']]",,,NONE,False,269,"More challenging yet, the van's designers had only shaped the engine box for a four-cylinder engine, meaning Toyota could not fit the Previa with a V-6 engine to compete with the faster and more powerful Chrysler minivans--or those from Ford and General Motors as well.","More challenging yet, the van's designers had only shaped the engine"", 'box for a four-cylinder engine, meaning Toyota could not fit the', 'Previa with a V-6 engine to compete with the faster and more powerful', 'Chrysler minivans--or those from Ford and General Motors as well."
K1739845699,middle_paths_unrestricted_16,ARG,,1.0,PHP,Perl,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ be/VERB/advcl/V Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ maintainable/ADJ/compound/V Y/PROPN/dobj/<']]",,,NONE,False,106,Mostly that it's almost definitely harder to write maintainable PHP than it is to write maintainable Perl.,"Mostly that it's almost definitely harder to write maintainable PHP"", 'than it is to write maintainable Perl."
K1740197782,middle_paths_unrestricted_16,ARG,,1.0,reagan,kennedy,lex (unique),"[['X/PROPN/nsubj/> get/VERB/ROOT/^ good/ADJ/dobj/< of/ADP/prep/<', 'Y/PROPN/pobj/<']]",,,NONE,True,74,"Most observers, in fact, seemed to think reagan got the better of kennedy.","Most observers, in fact, seemed to think reagan got the better of', 'kennedy."
L1753985145,middle_paths_unrestricted_16,NONE,,1.0,Dell,IBM,lex (unique),"[['X/PROPN/nsubj/> let/VERB/ROOT/^ believe/VERB/ccomp/< seek/VERB/conj/<', 'influence/VERB/xcomp/< Y/PROPN/dobj/<']]",,,ARG,False,201,"Much as Dell occasionally lets slip it's talking to AMD - the better, it's believed, to encourage Intel to be more supportive - so Apple may seek to influence IBM by approaching other processor makers.","Much as Dell occasionally lets slip it's talking to AMD - the better,"", ""it's believed, to encourage Intel to be more supportive - so Apple may"", 'seek to influence IBM by approaching other processor makers."
L1754065103,middle_paths_unrestricted_16,ARG,,1.0,Python,Lisp,lex (unique),"[['X/PROPN/nsubj/> have/VERB/ROOT/^ strength/NOUN/dobj/< that/ADJ/relcl/<', 'Y/PROPN/nsubj/<']]",,,NONE,True,326,"Much better to ask what the strengths and weaknesses are of particular languages, eg. for programming a particular kind of task, for future employability of developers and maintainers, for compiler efficiency, for expressive completeness, for FFI, etc. Python clearly has many strengths that Lisp/scheme lack, also vica versa.","Much better to ask what the strengths and weaknesses are of particular', 'languages, eg. for programming a particular kind of task, for future', 'employability of developers and maintainers, for compiler efficiency,', 'for expressive completeness, for FFI, etc. Python clearly has many', 'strengths that Lisp/scheme lack, also vica versa."
L1763230147,middle_paths_unrestricted_16,ARG,,0.8571428571428571,Windows 8,Windows 7,lex (unique),[['NOPATH']],,,NONE,True,96,My Dell Adamo has a definite affinity for Windows 8. It's more stable and faster than Windows 7.,"My Dell Adamo has a definite affinity for Windows 8. It's more stable"", 'and faster than Windows 7."
L1763348345,middle_paths_unrestricted_16,NONE,,1.0,soup,sandwich,lex (unique),[['X/PROPN/nsubj/> be/VERB/ROOT/^ meat/NOUN/conj/< Y/PROPN/appos/<']],,,ARG,True,98,My dining companion said the soup was lousy and the meat in the club sandwich was extremely tough.,"My dining companion said the soup was lousy and the meat in the club', 'sandwich was extremely tough."
L1769941943,middle_paths_unrestricted_16,ARG,,1.0,Windows 7,Windows 8,lex (unique),"[['X/PROPN/nsubj/> use/VERB/ROOT/^ realize/VERB/advcl/< Y/PROPN/dobj/<'], ['X/PROPN/nsubj/> and/CONJ/cc/V use/VERB/ROOT/^ realize/VERB/advcl/<', 'Y/PROPN/dobj/<']]",,,NONE,False,130,"My last PC had Windows 7 and I would use it from time to time until I realized Windows 8 was better, faster and had less problems.","My last PC had Windows 7 and I would use it from time to time until I', 'realized Windows 8 was better, faster and had less problems."
L1770666002,middle_paths_unrestricted_16,ARG,,1.0,football,golf,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ but/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ be/VERB/conj/V Y/PROPN/pobj/<']]",,,NONE,True,86,"My main sport was football, but I was determined to get better at golf,"" Norwood says.","My main sport was football, but I was determined to get better at', 'golf,"" Norwood says."
L1770959413,middle_paths_unrestricted_16,NONE,,1.0,soup,pasta,lex (unique),"[['X/PROPN/nsubj/> be/VERB/ROOT/^ good/ADJ/acomp/< with/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> be/VERB/ROOT/^ good/ADJ/acomp/< with/ADP/prep/<', 'homemade/ADJ/amod/V Y/PROPN/pobj/<']]",,,ARG,False,56,My minestrone soup is always better with homemade pasta.,My minestrone soup is always better with homemade pasta.
L1773172863,middle_paths_unrestricted_16,ARG,,1.0,Integer,Floating-point,lex (unique),[['NOPATH']],,,NONE,False,200,"My original guess was that division might be slower because, for a lot of cases (such as 42/5) the results are non-Integer, so it has to use (mildly slower) Floating-point hardware to find the result.","My original guess was that division might be slower because, for a lot', 'of cases (such as 42/5) the results are non-Integer, so it has to use', '(mildly slower) Floating-point hardware to find the result."
L1775756281,middle_paths_unrestricted_16,ARG,,1.0,Bash,Python,lex (unique),[['X/PROPN/nsubj/> need/VERB/ROOT/^ think/VERB/conj/< Y/PROPN/dobj/<']],,,NONE,True,92,My roommate likes Bash for his scripting needs but I think Python is a better glue language.,"My roommate likes Bash for his scripting needs but I think Python is a', 'better glue language."
L1790053271,middle_paths_unrestricted_16,ARG,,1.0,Perl,Python,lex (unique),[['X/PROPN/nsubj/> be/VERB/ROOT/^ Y/PROPN/npadvmod/<']],,,NONE,True,92,"Neither is a clear winner on performance; Perl is faster for some things, Python for others.","Neither is a clear winner on performance; Perl is faster for some', 'things, Python for others."
L1795713475,middle_paths_unrestricted_16,ARG,,1.0,Ferrari,Renault,lex (unique),[['NOPATH']],,,NONE,True,45,New Ferrari better than 2009 Renault - Alonso,New Ferrari better than 2009 Renault - Alonso
L1800897966,middle_paths_unrestricted_16,NONE,,1.0,cement,wood,lex (unique),"[['X/PROPN/nsubj/> penetrate/VERB/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/nsubj/> penetrate/VERB/ROOT/^ the/DET/det/V Y/PROPN/dobj/<']]",,,ARG,False,43,"Next, the cement cannot penetrate the wood.","Next, the cement cannot penetrate the wood."
L1805195115,middle_paths_unrestricted_16,ARG,,1.0,Nikon,Sigma,lex (unique),[['X/PROPN/nsubj/> give/VERB/ROOT/^ to/ADP/prep/< Y/PROPN/pobj/<']],,,NONE,False,87,"Nikon gave to Sigma a first ""wake-up call"" with the cheaper and much better 35mm 1.8DX.","Nikon gave to Sigma a first ""wake-up call"" with the cheaper and much', 'better 35mm 1.8DX."
L1806111729,middle_paths_unrestricted_16,ARG,,1.0,Nissan,Toyota,lex (unique),"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ be/VERB/relcl/V Y/PROPN/conj/<']]",,,NONE,True,126,"Nissan , which was able to return to normal production levels much faster that Honda and Toyota, reported a 19.2 percent gain.","Nissan , which was able to return to normal production levels much', 'faster that Honda and Toyota, reported a 19.2 percent gain."
